"Outbound Call","1000","1000","default","2015-05-03 20:27:03","2015-05-03 20:27:10","2015-05-03 20:27:42","39","32","NORMAL_CLEARING","e281d537-dbb9-4d92-9424-4b3b95969f42","","1000","G722","G722"
"1000","1000","9664","default","2015-05-03 20:29:25","2015-05-03 20:29:35","2015-05-03 20:29:37","12","2","NORMAL_CLEARING","195e231d-c123-41ba-8cc2-42039590fe76","","1000","G722","G722"
"1000","1000","9192","default","2015-05-03 20:35:53","2015-05-03 20:36:03","2015-05-03 20:36:03","10","0","NORMAL_CLEARING","5b566d5a-c21a-42af-9026-0979a54f38d8","","1000","G722","G722"
"1000","1000","9664","default","2015-05-03 20:42:54","2015-05-03 20:43:04","2015-05-03 20:44:00","66","56","NORMAL_CLEARING","5361f2cc-5892-46e2-9295-964e9aa436a0","","1000","G722","G722"
"1000","1000","9196","default","2015-05-03 20:44:13","2015-05-03 20:44:23","2015-05-03 20:46:04","111","101","NORMAL_CLEARING","13898edd-bb73-4748-84e8-e3309540de3c","","1000","G722","G722"
"1000","1000","9197","default","2015-05-03 20:46:48","2015-05-03 20:46:58","2015-05-03 20:47:14","26","16","NORMAL_CLEARING","6d8efa26-cf25-4b5b-946d-7b347f894b5b","","1000","G722","G722"
"1000","1000","9198","default","2015-05-03 20:47:25","2015-05-03 20:47:36","2015-05-03 20:47:51","26","15","NORMAL_CLEARING","d9b97b1c-35a3-4b66-b8fa-45a99718bcbd","","1000","G722","G722"
"1000","1000","9180","default","2015-05-03 20:48:02","","2015-05-03 20:48:26","24","0","ORIGINATOR_CANCEL","ed57dabe-73bd-479a-b442-06c0f1e045f8","","1000","",""
"1000","1000","9181","default","2015-05-03 20:48:36","","2015-05-03 20:49:04","28","0","ORIGINATOR_CANCEL","fbb1d79f-5879-4789-966f-1819742f83bc","","1000","G722","G722"
"Extension 1000","1000","wait","default","2015-05-03 20:48:46","","2015-05-03 20:49:04","18","0","ORIGINATOR_CANCEL","9e34fa70-54fb-46e1-92a3-0effc3b33e93","","","G722","G722"
"1000","1000","9182","default","2015-05-03 20:49:10","","2015-05-03 20:49:29","19","0","ORIGINATOR_CANCEL","004eb717-d9b3-44fb-a3a9-fd421bcfc4f9","","1000","G722","G722"
"Extension 1000","1000","wait","default","2015-05-03 20:49:20","","2015-05-03 20:49:29","9","0","ORIGINATOR_CANCEL","44cfc82e-bd8b-4f35-8025-cd567599d79a","","","G722","G722"
"1000","1000","5000","default","2015-05-03 20:51:48","2015-05-03 20:51:58","2015-05-03 20:52:42","54","44","NORMAL_CLEARING","7ffc9aac-5632-4a83-ba0b-f23d497cc71a","","1000","G722","G722"
"1001","1001","5000","default","2015-05-03 20:52:53","2015-05-03 20:53:04","2015-05-03 20:53:49","56","45","NORMAL_CLEARING","a86d87a9-3b4f-4c53-9f18-673afd83fb20","","1001","GSM","GSM"
"1000","1000","9179","default","2015-05-03 20:54:02","2015-05-03 20:54:13","2015-05-03 20:54:13","11","0","NORMAL_CLEARING","25be6312-db2f-4fba-9b20-465c7cdd0de6","","1000","G722","G722"
"1000","1000","1001","default","2015-05-03 20:54:25","2015-05-03 20:54:51","2015-05-03 20:55:20","55","29","NORMAL_CLEARING","e350a039-11d8-4383-a53e-447d64fbde32","e2b7c127-dbe8-4f9d-b3ae-7c017e22ce6a","1000","G722","G722"
"1001","1001","1000","default","2015-05-03 20:58:09","2015-05-03 20:58:28","2015-05-03 20:58:37","28","9","NORMAL_CLEARING","7960ba83-7a28-4b4a-b988-409f2b02cac5","904304e3-6113-4aa4-9f04-bc32c0a7b0b1","1001","GSM","GSM"
"1000","1000","1000","default","2015-05-03 21:01:13","","2015-05-03 21:01:53","40","0","ORIGINATOR_CANCEL","036af659-2c6b-4424-ba49-957cb9d8d192","","1000","G722","G722"
"Extension 1000","1000","voicemail","default","2015-05-03 21:02:27","","2015-05-03 21:03:13","46","0","NORMAL_CLEARING","04dbaa8c-4ff1-4cda-b18d-906365ceaa0f","","","G722","G722"
"1000","1000","1001","default","2015-05-03 21:02:15","2015-05-03 21:02:26","2015-05-03 21:03:13","58","47","NORMAL_CLEARING","aebf890a-8fc7-4fb6-bcc2-2789f59586b4","1ca2b43a-4be8-475b-9146-9c5c08ec1625","1000","G722","G722"
"1001","1001","1001","default","2015-05-03 21:03:33","2015-05-03 21:04:00","2015-05-03 21:04:25","52","25","NORMAL_CLEARING","dc3885ed-f575-4337-8497-b1c71992a41d","ff4ad0a3-976f-428b-8f91-a07f8e444ab3","1001","GSM","GSM"
"1000","1000","5000","default","2015-05-03 21:13:54","2015-05-03 21:14:04","2015-05-03 21:14:20","26","16","NORMAL_CLEARING","720f7e50-5518-44d8-b1b4-18d5bfe59367","","1000","G722","G722"
"1000","1000","5000","default","2015-05-05 10:43:20","2015-05-05 10:43:31","2015-05-05 10:44:14","54","43","NORMAL_CLEARING","efc756df-a77a-44c3-aab7-b3e6dbebc8a8","","1000","G722","G722"
"Outbound Call","1000","$hold","default","2015-05-05 10:50:44","2015-05-05 10:51:02","2015-05-05 10:51:12","28","10","NORMAL_CLEARING","c96d9206-a152-4a8e-b461-45b7f261bf57","","1000","G722","G722"
"Outbound Call","1000","$playback(~/myfile/Apologize.wav)","default","2015-05-05 11:05:14","2015-05-05 11:05:19","2015-05-05 11:05:29","15","10","NORMAL_CLEARING","843c7cd7-3b4d-4ccf-a5a5-66080cc9b2da","","1000","G722","G722"
"Outbound Call","1000","$playback(/home/hadoop/myfile/Apologize.wav)","default","2015-05-05 11:07:10","2015-05-05 11:07:14","2015-05-05 11:07:24","14","10","NORMAL_CLEARING","58c21088-de77-4e17-9f64-3256da693435","","1000","G722","G722"
"Outbound Call","1000","$playback(/home/hadoop/myfile/Apologize.wav)","default","2015-05-05 11:09:56","2015-05-05 11:10:00","2015-05-05 11:10:10","14","10","NORMAL_CLEARING","694573c9-590c-41bf-82f6-a29c8a0dde36","","1000","G722","G722"
"Outbound Call","1000","$playback(/home/hadoop/myfile/Apologize.wav)","default","2015-05-05 11:10:53","2015-05-05 11:10:59","2015-05-05 11:11:09","16","10","NORMAL_CLEARING","b2f38621-b0dd-4e66-ab0e-f03942e01f2c","","1000","G722","G722"
"Outbound Call","1000","1000","default","2015-05-05 11:12:23","2015-05-05 11:12:29","2015-05-05 11:13:01","38","32","NORMAL_CLEARING","be731e34-97ac-4d92-9732-99a7ddcc2622","","1000","G722","G722"
"1000","1000","5000","default","2015-05-05 13:39:13","2015-05-05 13:39:24","2015-05-05 13:39:42","29","18","NORMAL_CLEARING","6453ecd5-aa70-4f2e-993f-fd0d0ef92874","","1000","G722","G722"
"Extension 1000","1000","voicemail","default","2015-05-05 14:25:22","","2015-05-05 14:26:42","80","0","NORMAL_CLEARING","1c605984-702e-46e7-bd15-2359cc5cffeb","","","G722","G722"
"1000","1000","1001","default","2015-05-05 14:25:09","2015-05-05 14:25:21","2015-05-05 14:26:42","93","81","NORMAL_CLEARING","2aae73f8-6403-4b59-9dcf-a5e02d8b18eb","0d68ff33-c3e1-4b70-b000-d76457219a21","1000","G722","G722"
"1001","1001","1000","default","2015-05-05 14:27:07","2015-05-05 14:27:28","2015-05-05 14:27:43","36","15","NORMAL_CLEARING","845b4127-9439-47ff-a6fe-1b26f85c010d","f29de926-0428-4681-9356-9004a8029055","1001","GSM","GSM"
"Extension 1001","1001","voicemail","default","2015-05-05 14:32:22","","2015-05-05 14:33:11","49","0","NORMAL_CLEARING","ebf9900f-8b9c-4aaf-aa55-0d44a2073bee","","","GSM","GSM"
"1001","1001","1000","default","2015-05-05 14:31:40","2015-05-05 14:32:21","2015-05-05 14:33:11","91","50","NORMAL_CLEARING","caaf1b8a-8b96-4af3-8291-ee1b2ad41048","24ea1209-add5-4f8f-afc5-fa03febbc330","1001","GSM","GSM"
"","0000000000","1000","default","2015-05-05 14:41:15","","2015-05-05 14:41:45","30","0","USER_BUSY","892573b7-16bf-4b5a-ade0-4e97da3c4fc3","","","",""
"Outbound Call","1000","1000","default","2015-05-05 14:43:03","2015-05-05 14:43:07","2015-05-05 14:43:18","15","11","NORMAL_CLEARING","f633b956-e980-4177-9cb7-c6a852cf0dc7","","1000","G722","G722"
"","0000000000","1000","default","2015-05-05 14:46:28","","2015-05-05 14:46:31","3","0","USER_BUSY","51dca459-d108-439d-9fc2-375fffb4a002","","","",""
"","0000000000","1001","default","2015-05-05 14:46:35","","2015-05-05 14:46:36","1","0","NORMAL_TEMPORARY_FAILURE","17baf327-efeb-49e1-8bcc-b53c78a7a8ff","","","",""
"","0000000000","1001","default","2015-05-05 14:48:09","","2015-05-05 14:48:10","1","0","NORMAL_TEMPORARY_FAILURE","c94535cb-7e4e-41d8-844c-993676d1a5cd","","","",""
"","0000000000","1000","default","2015-05-05 14:48:17","","2015-05-05 14:48:21","4","0","USER_BUSY","e3c4a55f-528e-4053-b080-507c94b9f175","","","",""
